Jiřího z Poděbrad
S. K. Neumanna
Nad Koupalištěm I
Nad Koupalištěm II
K Novému nádraží
Čtvrť 9. května
Dr. Alberta Pražáka
náměstí Josefa Haška
Dr. Jana Malíka
J. E. Purkyně
K Ploché dráze
nábřeží Karla Čapka
S. K. Neumanna
Dr. Václava Peška
sídliště Pod nádražím
Sídl. 9. května
T. G. Masaryka
F. L. Čelakovského
J. K. Tyla
K Černé studnici
Ke Starému buku
náměstí Dr. Farského
S. K. Neumanna
U Čertova kamene
U Lesního divadla
U Srnčího dolu
U Staré lípy
U Zeleného stromu
U Háskových vil
nábřeží Obránců míru
náměstí 3. května
K. H. Máchy
U Sv. Rocha
Nábř. Irmy Geisslové
J. Š. Kubína
Nábř. Kpt. Jaroše
Nám. V. Čtvrtka
U Javůrkovy louky
T. G. Masaryka
T. G. Masaryka
Jiřího z Poděbrad
F. F. Procházky
K. H. Máchy
K. J. Erbena
K. V. Raise
Pplk. M. Semíka
F. M. Hilmara
Jiřího z Poděbrad
Plk. O. Hrubého
Dr. K. Tučka
Profesora Františka Vojtíška
T. G. Masaryka
Na zadní cestě
Na Slunné stráni
K. H. Borovského
U Kulturního domu
Dr. Jiřího Procházky
Jiřího z Poděbrad
Pod Jánským kopečkem
S. K. Neumanna
U Dlouhé stěny
U Hlavního nádraží
U Městského nádraží
U Pražského mostu
nám. 9. května
K. L. Klusáčka
U Masných krámů
náměstí Bratří Čapků
Lesovna v Parku
náměstí Jana Kypty
U Horní brány
U Matky Boží
U Štěpnického rybníka
J. V. Sládka
K. H. Máchy
Sídliště u Nádraží
Sídliště na Sadech
T. G. Masaryka
třída Čsl. legií
Berky z Dubé
Jiřího z Poděbrad
Třída 9. května
U Podcest. mlýna
Sídliště F. Hrubína
nábřeží Ladislava Stehny
sídliště U Nádraží
U Dolního Skrýchova
sídliště Pod Kasárny
nám. J. Hrubého
nám. 5. května
Dr. Fr. Kuny
K. H. Borovského
sídliště Svatopluka Čecha
náměstí Emy Destinnové
J. K. Tyla
sídl. 9. května
sídl. 17. listopadu
U sv. Víta
U židovského hřbitova
nám. 5. května
náměstí Sv. Vavřince
tř. Čs. armády
třída Dukelských hrdinů
T. G. Masaryka
Dr. Davida Bechera
F. X. Šaldy
I. P. Pavlova
nám. K. Sabiny
nám. V. Řezáče
Pod Jelením skokem
Roháče z Dubé
S. K. Neumanna
nábřeží Jana Palacha
T. G. Masaryka
U Tří křížů
náměstí Emy Destinové
nám. 17. listopadu
J. A. Gagarina
Jiřího z Poděbrad
náměstí Karla IV.
sídliště 9. května
Na Pěší zóně
S. K. Neumanna
T. G. Masaryka
Hájenka V ráji
S. K. Neumanna
park A. Sikory
U Nové cesty
U Kulturního domu
E. F. Buriana
J. A. Komenského
Karla Havlíčka Borovského
K. V. Raise
A. S. Puškina
S. K. Neumanna
Slovenského národního povstání
V. K. Klicpery
U Letního kina
Jindřicha Šimona Baara
park Boženy Němcové
nám. Ondry Foltýna
U Nového dvora
park Bedřicha Smetany
tř. 17. listopadu
U Mateřské školy
U Státní hranice
F. S. Tůmy
Dr. M. Tyrše
V Zimném dole
náměstí 28. října
U Kulturního domu
V Zimném dole
U Mateřské školy
V sídlišti SONP
Havířská ulice I
Havířská ulice II
Havířská ulice III
třída Rudé armády
Gen. L. Svobody
J. A. Komenského
J. K. Tyla
K Mírovému náměstí
S. K. Neumanna
J. V. Sládka
Lva Nikolaje Tolstého
Na růžovém poli
nám. Fr. Rosenbauma
nám. Jana Opletala
nám. Mikoláše Alše
náměstí 9. května
náměstí starosty Pavla
náměstí 17. listopadu
nám. Edvarda Beneše
nám. Jana Masaryka
nám. Karla Kindla
Osvoboz. pol. vězňů
S. K. Neumanna
Pod kamenným vrchem
T. G. Masaryka
Náměstí 9. května
V. B. Třebízského
K Bílé skále
U Mateřské školy
10. června 1942
Dr. E. Beneše
K. H. Borovského
Jiřího z Poděbrad
U Stadionu I.
U Stadionu II.
J. A. Komenského
J. Š. Baara
S. K. Neumanna
náměstí u dubu
Na Stráži I
Na Stráži II
Na Stráži III
Na Stráži IV
Na Stráži IX
Na Stráži V
Na Stráži VI
Na Stráži VII
Na Stráži VIII
U Staré školy
Za Humny I
Za Humny II
Za Starou poštou
Nad Farskou zahradou
Za Humny III
Na Bílé pěšině
Pěšina K Čeperce
Pod Masnými krámy
tř. Dr. Beneše
U Sadu legionářů
náměstí Krále Vladislava
Za Roudnickou branou
náměstí Pod Lipami
Jiřího z Poděbrad
U Černínského zámku
Náměstí Karla Pacnera
nábř. Kpt. Nálepky
Sídliště U Pošty
ul. 5. května
Karla Hynka Máchy
Dr. Ed. Beneše
nábřeží Jana Seitze
T. G. Masaryka
U staré školy
nám. lípy svobody
náměstí 1. máje
stezka Břet. Jedličky-Brodského
Pod Malým vrchem
Pod Velkým vrchem
Ve Staré vsi
Na Staré cestě
Na Patnácti kopách
překladiště U Přístavu
Generála Vedrala Sázavského
Na Krásné vyhlídce
Gen. L. Svobody
U Mateřské školy
Jiřího z Poděbrad
J. A. Komenského
K. Havlíčka Borovského
K. Hynka Máchy
Tř. 5. května
Tř. Jana Švermy
V. B. Třebízského
U pomníku padlých
V Malém kopci
náměstí Obránců míru
třída Krále Jiřího
Náměstí Petra Bezruče
Na Staré cestě
nám. Sv. Anny
U Stavu I
U Stavu II
Dr. Emila Axmana
K. H. Máchy
U Zdravé vody
Profesora Vojtěcha Tučka
Slov. nár. povstání
Za Zámeckou zahradou
Jiřího z Poděbrad
Bojovníků za svobodu
Dr. K. Tesaře
Dr. Františka Škrdleho
Dr. L. Quise
Gen. Františka Moravce
Jiřího z Poděbrad
P. J. Šafaříka
Přemysla Otakara II.
Jiřího z Poděbrad
náměstí Národního odboje
U Tylova divadla
Sídliště 9. května
Gen. Vedrala Sázavského
S. K. Neumanna
M. J. Husi
Na Malé obci
